Time Step,Robot ID,X,Y,Degree,SD Est,,
23,8,-38.433865,-12.297066,1,1,,
23,9,274.8886,-182.05313,0,0,,
23,10,107.626205,-370.35852,0,0,,
23,11,3.7009482,-330.13943,0,0,,
24,0,-55.319603,179.84554,1,1,,
24,1,-213.5417,-43.418278,0,0,,
24,2,-35.2243,13.525919,1,1,,
24,3,-115.20695,368.8727,0,0,,
24,4,-344.25293,-187.84593,0,0,,
24,5,116.32874,-222.24696,0,0,,
24,6,-339.54333,-40.03549,0,0,,
24,7,-41.590244,242.56387,1,1,,
24,8,-35.5577,-11.444021,1,1,,
24,9,273.17346,-179.59178,0,0,,
24,10,110.1755,-368.77704,0,0,,
24,11,0.8665564,-331.1224,0,0,,
25,0,-52.338745,180.1839,1,1,,
25,1,-215.9861,-45.157516,0,0,,
25,2,-35.42669,16.519085,1,1,,
25,3,-117.52879,370.77246,0,0,,
25,4,-341.25296,-187.8579,0,0,,
25,5,114.03981,-224.18623,0,0,,
25,6,-339.80182,-37.046642,0,0,,
25,7,-42.820168,245.30017,1,1,,
25,8,-32.597675,-10.955924,1,1,,
25,9,270.71768,-177.86868,0,0,,
25,10,112.89815,-367.5172,0,0,,
25,11,-1.8894002,-332.30762,0,0,,
26,0,-49.363235,180.56644,1,1,,
26,1,-218.09282,-47.293343,0,0,,
26,2,-36.457317,19.336494,1,1,,
26,3,-120.18444,372.168,0,0,,
26,4,-338.3116,-188.44823,0,0,,
26,5,111.637215,-225.98277,0,0,,
26,6,-339.67453,-34.049343,0,0,,
26,7,-44.7591,247.58939,1,1,,
26,8,-29.80312,-9.864842,1,1,,
26,9,268.30563,-176.08485,0,0,,
26,10,115.544334,-366.10382,0,0,,
26,11,-3.973143,-334.46585,0,0,,
27,0,-46.41354,181.11351,1,1,,
27,1,-220.55826,-49.002613,0,0,,
27,2,-37.667,22.081795,1,1,,
27,3,-123.17265,372.43365,0,0,,
27,4,-335.51993,-189.54665,0,0,,
27,5,108.82038,-227.01497,0,0,,
27,6,-339.5322,-31.052721,0,0,,
27,7,-47.002792,249.58083,1,1,,
27,8,-27.15768,-8.450047,1,1,,
27,9,265.80637,-174.42545,0,0,,
27,10,118.445076,-365.3385,0,0,,
27,11,-6.4616194,-336.14142,0,0,,
28,0,-43.44567,181.55142,1,1,,
28,1,-223.04744,-50.677124,0,0,,
28,2,-39.075523,24.73058,1,1,,
28,3,-126.1581,372.72885,0,0,,
